material1,material2,pred_temp,weights
Kr2+,F1-,[43.97315677],[0.33333333 0.66666667]
Ag2+,O0.5-,[43.9547528],[0.2 0.8]
I7+,F1-,[43.8977136],[0.125 0.875]
Se6+,F1-,[43.74010992],[0.14285714 0.85714286]
C3+,C3-,[43.67333124],[0.5 0.5]
S3+,O2-,[43.62694738],[0.4 0.6]
C3+,C4-,[43.62257373],[0.57142857 0.42857143]
C4+,C3-,[43.62257373],[0.42857143 0.57142857]
C4+,C2-,[43.53414005],[0.33333333 0.66666667]
C2+,C4-,[43.53414005],[0.66666667 0.33333333]
C2+,C3-,[43.48460081],[0.6 0.4]
C3+,C2-,[43.48460081],[0.4 0.6]
I5+,F1-,[43.3427946],[0.16666667 0.83333333]
As5+,F1-,[43.26797996],[0.16666667 0.83333333]
Be1+,F1-,[43.21366176],[0.5 0.5]
O2+,S2-,[43.21173793],[0.5 0.5]
S2+,O2-,[43.21173793],[0.5 0.5]
C2+,C2-,[43.19670668],[0.5 0.5]
C1+,C1-,[43.17317727],[0.5 0.5]
C4+,C1-,[43.16945977],[0.2 0.8]
C1+,C4-,[43.16945977],[0.8 0.2]
Be2+,F1-,[43.1300608],[0.33333333 0.66666667]
C1+,C2-,[43.02511265],[0.66666667 0.33333333]
C2+,C1-,[43.02511265],[0.33333333 0.66666667]
Se4+,F1-,[42.99120589],[0.2 0.8]
C3+,C1-,[42.94835909],[0.25 0.75]
C1+,C3-,[42.94835909],[0.75 0.25]
As3+,F1-,[42.7523405],[0.25 0.75]
I3+,F1-,[42.06011425],[0.25 0.75]
Si4+,F1-,[41.95352291],[0.2 0.8]
Ag2+,O0.333-,[41.67927661],[0.14273468 0.85726532]
Cl1+,N2-,[41.53513822],[0.66666667 0.33333333]
N2+,Cl1-,[41.53513822],[0.33333333 0.66666667]
N1+,Cl1-,[41.42410912],[0.5 0.5]
Cl1+,N1-,[41.42410912],[0.5 0.5]
Cl4+,N3-,[41.34292414],[0.42857143 0.57142857]
Si3+,F1-,[41.27105533],[0.25 0.75]
Cl1+,N3-,[41.17566626],[0.75 0.25]
N3+,Cl1-,[41.17566626],[0.25 0.75]
Cl2+,N3-,[40.72587888],[0.6 0.4]
Kr2+,O2-,[40.68146316],[0.5 0.5]
Cl3+,N3-,[40.66174799],[0.5 0.5]
Cl2+,N2-,[40.63857807],[0.5 0.5]
P1+,F1-,[40.40923724],[0.5 0.5]
Ag3+,Br1-,[39.10404028],[0.25 0.75]
Ag3+,Sb3-,[38.29709148],[0.5 0.5]
Ag1+,Br1-,[38.27514915],[0.5 0.5]
Xe8+,F1-,[38.16035695],[0.11111111 0.88888889]
Xe4+,F1-,[38.04392588],[0.2 0.8]
Ag2+,Sb3-,[37.80474872],[0.6 0.4]
Ag2+,Br1-,[37.77324306],[0.33333333 0.66666667]
Ag2+,B1-,[37.73412186],[0.33333333 0.66666667]
Si2+,F1-,[37.65990471],[0.33333333 0.66666667]
Xe6+,F1-,[37.56827221],[0.14285714 0.85714286]
P2+,O0.333-,[37.21405116],[0.14273468 0.85726532]
O0.333+,P2-,[37.21405116],[0.85726532 0.14273468]
P3+,O0.5-,[37.21405116],[0.14285714 0.85714286]
O0.5+,P3-,[37.21405116],[0.85714286 0.14285714]
Se2+,F1-,[37.16651724],[0.33333333 0.66666667]
O0.5+,P2-,[37.04950074],[0.8 0.2]
P2+,O0.5-,[37.04950074],[0.2 0.8]
O0.333+,P3-,[37.03010209],[0.90009001 0.09990999]
P3+,O0.333-,[37.03010209],[0.09990999 0.90009001]
P4+,O0.333-,[36.97179253],[0.07685207 0.92314793]
P5+,O0.333-,[36.97179253],[0.0624414 0.9375586]
P4+,O0.5-,[36.87007808],[0.11111111 0.88888889]
P5+,O0.5-,[36.85951154],[0.09090909 0.90909091]
P1+,O0.333-,[36.75538309],[0.24981245 0.75018755]
O0.333+,P1-,[36.75538309],[0.75018755 0.24981245]
Si1+,F1-,[36.54796718],[0.5 0.5]
O1+,P2-,[36.4905084],[0.66666667 0.33333333]
P2+,O1-,[36.4905084],[0.33333333 0.66666667]
O0.5+,P1-,[36.4905084],[0.66666667 0.33333333]
P1+,O0.5-,[36.4905084],[0.33333333 0.66666667]
P4+,O1-,[36.25898493],[0.2 0.8]
P3+,O1-,[36.2581656],[0.25 0.75]
O1+,P3-,[36.2581656],[0.75 0.25]
P5+,O1-,[36.22776364],[0.16666667 0.83333333]
As2+,F1-,[36.14139538],[0.33333333 0.66666667]
Ag3+,B1-,[35.84988215],[0.25 0.75]
P4+,O2-,[35.74414525],[0.33333333 0.66666667]
P5+,O2-,[35.66924231],[0.28571429 0.71428571]
Ag2+,Bi3-,[35.41267662],[0.6 0.4]
Ag3+,Te2-,[34.970481],[0.4 0.6]
Mg2+,B1-,[34.10355963],[0.33333333 0.66666667]
Br5+,H1-,[33.59499108],[0.16666667 0.83333333]
Ag3+,Po2-,[33.53302675],[0.4 0.6]
I1+,F1-,[33.34967718],[0.5 0.5]
Cl5+,C1-,[32.80464202],[0.16666667 0.83333333]
N5+,B1-,[32.0099687],[0.16666667 0.83333333]
N2+,B1-,[31.17295218],[0.33333333 0.66666667]
B1+,N2-,[31.17295218],[0.66666667 0.33333333]
Ag1+,B1-,[31.11696376],[0.5 0.5]
B1+,N3-,[31.0574265],[0.75 0.25]
N3+,B1-,[31.0574265],[0.25 0.75]
Cl6+,C1-,[31.04020813],[0.14285714 0.85714286]
Xe2+,F1-,[30.91095551],[0.33333333 0.66666667]
B3+,N3-,[30.76824755],[0.5 0.5]
N3+,B3-,[30.76824755],[0.5 0.5]
N4+,B1-,[30.75083605],[0.2 0.8]
N4+,B3-,[30.7494605],[0.42857143 0.57142857]
B3+,N2-,[30.5980888],[0.4 0.6]
N2+,B3-,[30.5980888],[0.6 0.4]
Ga2+,Br1-,[30.51310153],[0.33333333 0.66666667]
Xe8+,H1-,[30.44550573],[0.11111111 0.88888889]
N5+,B3-,[30.41112947],[0.375 0.625]
Br7+,H1-,[30.35840635],[0.125 0.875]
Cl7+,C1-,[30.35801205],[0.125 0.875]
B1+,N1-,[30.28273301],[0.5 0.5]
N1+,B1-,[30.28273301],[0.5 0.5]
B2+,N2-,[30.26575822],[0.5 0.5]
B2+,N3-,[30.15509051],[0.6 0.4]
Ce2+,Br1-,[29.93418289],[0.33333333 0.66666667]
Cl1+,P2-,[29.85217437],[0.66666667 0.33333333]
P2+,Cl1-,[29.85217437],[0.33333333 0.66666667]
Cl2+,Cl1-,[29.83421897],[0.33333333 0.66666667]
V5+,Cl1-,[29.82668215],[0.16666667 0.83333333]
La2+,Br1-,[29.77468333],[0.33333333 0.66666667]
La3+,Br1-,[29.75403948],[0.25 0.75]
V4+,Cl1-,[29.73419531],[0.2 0.8]
Ce3+,Br1-,[29.66544907],[0.25 0.75]
Ga3+,Br1-,[29.62224983],[0.25 0.75]
B2+,N1-,[29.61057081],[0.33333333 0.66666667]
Ce4+,Br1-,[29.59905851],[0.2 0.8]
V2+,Br1-,[29.5908553],[0.33333333 0.66666667]
Ti4+,Cl1-,[29.5856977],[0.2 0.8]
Sb5+,Cl1-,[29.47737628],[0.16666667 0.83333333]
Ag2+,Se2-,[29.44929453],[0.5 0.5]
Te6+,F1-,[29.40205628],[0.14285714 0.85714286]
