material1,material2,pred_temp,weights
Cr3+,Cs1+,[4.85385536],[0.5 0.5]
Pb4+,Pa5+,[4.85316292],[0.5 0.5]
Y3+,Dy3+,[4.84783983],[0.5 0.5]
In3+,Pb4+,[4.84612026],[0.5 0.5]
Y3+,Pu4+,[4.84384907],[0.5 0.5]
Li1+,Nb5+,[4.84366845],[0.5 0.5]
Hg2+,U6+,[4.8392361],[0.5 0.5]
Ce4+,Pr3+,[4.83684101],[0.5 0.5]
Sc3+,Ta5+,[4.8347464],[0.5 0.5]
Tm3+,Ra2+,[4.83319429],[0.5 0.5]
In3+,Pa5+,[4.83079505],[0.5 0.5]
Na1+,Ti4+,[4.82960378],[0.5 0.5]
Li1+,Ba2+,[4.82910087],[0.5 0.5]
K1+,Tl3+,[4.82544496],[0.5 0.5]
Tb3+,Tm3+,[4.82431776],[0.5 0.5]
Sc3+,W6+,[4.82279535],[0.5 0.5]
Sc3+,W4+,[4.82279535],[0.5 0.5]
Al3+,Dy3+,[4.81839848],[0.5 0.5]
Ac3+,U6+,[4.81656291],[0.5 0.5]
Re4+,Ac3+,[4.81652039],[0.5 0.5]
Rb1+,Re4+,[4.8133606],[0.5 0.5]
Bi3+,Np5+,[4.81327188],[0.5 0.5]
Nb5+,Re4+,[4.8108841],[0.5 0.5]
Np5+,Cm3+,[4.80831975],[0.5 0.5]
Cd2+,Cs1+,[4.80592309],[0.5 0.5]
Pm3+,Bk3+,[4.80563597],[0.5 0.5]
In3+,Cm3+,[4.80353705],[0.5 0.5]
Li1+,Hg2+,[4.79894657],[0.5 0.5]
Gd3+,Er3+,[4.7944483],[0.5 0.5]
Nd3+,Bk3+,[4.79427091],[0.5 0.5]
Rb1+,Ir4+,[4.79332724],[0.5 0.5]
Rb1+,Tm3+,[4.79234338],[0.5 0.5]
Na1+,Cs1+,[4.79214689],[0.5 0.5]
Ni2+,Pd4+,[4.79084768],[0.5 0.5]
Na1+,Ag1+,[4.78213054],[0.5 0.5]
Ra2+,U6+,[4.78174177],[0.5 0.5]
Pt4+,Pb4+,[4.77636689],[0.5 0.5]
V5+,Hf4+,[4.77531899],[0.5 0.5]
Ni2+,Nb5+,[4.77449689],[0.5 0.5]
Tb3+,Er3+,[4.77323255],[0.5 0.5]
Zn2+,Pr3+,[4.77021172],[0.5 0.5]
K1+,Pt4+,[4.76940023],[0.5 0.5]
Ni2+,Cd2+,[4.7645082],[0.5 0.5]
Lu3+,Hf4+,[4.76445006],[0.5 0.5]
