material1,material2,pred_temp,weights
S5+,H1-,[48.27511519],[0.16666667 0.83333333]
S6+,H1-,[48.27511519],[0.14285714 0.85714286]
Cu2+,O0.5-,[48.2593304],[0.2 0.8]
B3+,O1-,[47.97955995],[0.25 0.75]
O1+,B3-,[47.97955995],[0.75 0.25]
B2+,O0.5-,[47.96057955],[0.2 0.8]
O0.333+,B1-,[47.91930224],[0.75018755 0.24981245]
B1+,O0.333-,[47.91930224],[0.24981245 0.75018755]
S4+,O0.333-,[47.71783232],[0.07685207 0.92314793]
S6+,O0.5-,[47.71783232],[0.07692308 0.92307692]
S5+,O0.333-,[47.69274361],[0.0624414 0.9375586]
H1+,S2-,[47.65532975],[0.66666667 0.33333333]
S2+,H1-,[47.65532975],[0.33333333 0.66666667]
O1+,B1-,[47.64913918],[0.5 0.5]
B2+,O2-,[47.64913918],[0.5 0.5]
B1+,O1-,[47.64913918],[0.5 0.5]
H1+,B3-,[47.5859193],[0.75 0.25]
B3+,H1-,[47.5859193],[0.25 0.75]
Br5+,O0.333-,[47.56694878],[0.0624414 0.9375586]
Br4+,O0.333-,[47.55499696],[0.07685207 0.92314793]
Br7+,O0.5-,[47.53098727],[0.06666667 0.93333333]
Br5+,O0.5-,[47.4990894],[0.09090909 0.90909091]
H1+,C2-,[47.46170095],[0.66666667 0.33333333]
C2+,H1-,[47.46170095],[0.33333333 0.66666667]
S5+,O0.5-,[47.24956341],[0.09090909 0.90909091]
S4+,O0.5-,[47.17182468],[0.11111111 0.88888889]
C3+,C4-,[47.15761221],[0.57142857 0.42857143]
C4+,C3-,[47.15761221],[0.42857143 0.57142857]
C4+,C2-,[47.12668704],[0.33333333 0.66666667]
C2+,C4-,[47.12668704],[0.66666667 0.33333333]
B2+,H1-,[47.06897092],[0.33333333 0.66666667]
C2+,C3-,[47.04584751],[0.6 0.4]
C3+,C2-,[47.04584751],[0.4 0.6]
C4+,C4-,[47.0258763],[0.5 0.5]
S3+,H1-,[47.01550582],[0.25 0.75]
O2+,B1-,[46.98260676],[0.33333333 0.66666667]
B1+,O2-,[46.98260676],[0.66666667 0.33333333]
C3+,C3-,[46.9710856],[0.5 0.5]
C2+,C1-,[46.9575904],[0.33333333 0.66666667]
C1+,C2-,[46.9575904],[0.66666667 0.33333333]
C2+,C2-,[46.93129769],[0.5 0.5]
C1+,C1-,[46.93129769],[0.5 0.5]
S4+,H1-,[46.87730006],[0.2 0.8]
C1+,C4-,[46.79620729],[0.8 0.2]
C4+,C1-,[46.79620729],[0.2 0.8]
C3+,C1-,[46.76527091],[0.25 0.75]
C1+,C3-,[46.76527091],[0.75 0.25]
S6+,O1-,[46.74921613],[0.14285714 0.85714286]
Br3+,O0.333-,[46.68878975],[0.09990999 0.90009001]
S5+,O1-,[46.62764859],[0.16666667 0.83333333]
S6+,O2-,[46.56773024],[0.25 0.75]
Ag3+,O1-,[46.3822613],[0.25 0.75]
S3+,O0.333-,[46.28906257],[0.09990999 0.90009001]
Ag1+,O0.333-,[46.18562265],[0.24981245 0.75018755]
S2+,O0.333-,[46.08296849],[0.14273468 0.85726532]
O0.333+,S2-,[46.08296849],[0.85726532 0.14273468]
C3+,H1-,[46.00983506],[0.25 0.75]
H1+,C3-,[46.00983506],[0.75 0.25]
