material1,material2,pred_temp,weights
Br7+,O0.5-,[50.35259585],[0.06666667 0.93333333]
Br4+,O0.333-,[50.29257614],[0.07685207 0.92314793]
Br5+,O0.333-,[50.29149291],[0.0624414 0.9375586]
B3+,O0.333-,[50.27081989],[0.09990999 0.90009001]
O0.333+,B3-,[50.27081989],[0.90009001 0.09990999]
B2+,O0.333-,[50.25971144],[0.14273468 0.85726532]
C3+,C2-,[50.21343362],[0.4 0.6]
C2+,C3-,[50.21343362],[0.6 0.4]
Ag3+,Cl1-,[50.14514006],[0.25 0.75]
Cl5+,N2-,[50.09585235],[0.28571429 0.71428571]
C1+,C3-,[50.00608978],[0.75 0.25]
C3+,C1-,[50.00608978],[0.25 0.75]
C1+,C1-,[50.0023739],[0.5 0.5]
C2+,C2-,[50.0023739],[0.5 0.5]
P2+,F1-,[49.97909683],[0.33333333 0.66666667]
C1+,C2-,[49.89041751],[0.66666667 0.33333333]
C2+,C1-,[49.89041751],[0.33333333 0.66666667]
B3+,O0.5-,[49.78576186],[0.14285714 0.85714286]
O0.5+,B3-,[49.78576186],[0.85714286 0.14285714]
S6+,O0.5-,[49.78488027],[0.07692308 0.92307692]
Cu1+,O0.333-,[49.74720088],[0.24981245 0.75018755]
S4+,O0.333-,[49.73389708],[0.07685207 0.92314793]
B1+,O0.5-,[49.72899671],[0.33333333 0.66666667]
O0.5+,B1-,[49.72899671],[0.66666667 0.33333333]
B2+,O1-,[49.72899671],[0.33333333 0.66666667]
S5+,O0.333-,[49.72285296],[0.0624414 0.9375586]
N4+,Cl1-,[49.67248397],[0.2 0.8]
S2+,F1-,[49.61046431],[0.33333333 0.66666667]
C4+,C1-,[49.60551555],[0.2 0.8]
C1+,C4-,[49.60551555],[0.8 0.2]
Ag3+,B3-,[49.54675216],[0.5 0.5]
O2+,B3-,[49.52375021],[0.6 0.4]
B3+,O2-,[49.52375021],[0.4 0.6]
H1+,S2-,[49.44106659],[0.66666667 0.33333333]
S2+,H1-,[49.44106659],[0.33333333 0.66666667]
S3+,O0.333-,[49.43478864],[0.09990999 0.90009001]
B3+,O1-,[49.40839286],[0.25 0.75]
O1+,B3-,[49.40839286],[0.75 0.25]
S5+,O0.5-,[49.38303921],[0.09090909 0.90909091]
B2+,O0.5-,[49.32074786],[0.2 0.8]
O0.333+,B1-,[49.28087186],[0.75018755 0.24981245]
B1+,O0.333-,[49.28087186],[0.24981245 0.75018755]
S3+,H1-,[49.25542697],[0.25 0.75]
S4+,O0.5-,[49.22869748],[0.11111111 0.88888889]
N5+,Cl1-,[49.20691847],[0.16666667 0.83333333]
S6+,H1-,[49.11230372],[0.14285714 0.85714286]
S5+,H1-,[49.11230372],[0.16666667 0.83333333]
Ag3+,N1-,[48.98803922],[0.25 0.75]
S4+,H1-,[48.96130932],[0.2 0.8]
O1+,Cl1-,[48.86147791],[0.5 0.5]
Cl1+,O1-,[48.86147791],[0.5 0.5]
Cl1+,F1-,[48.82134335],[0.5 0.5]
B3+,H1-,[48.5977386],[0.25 0.75]
H1+,B3-,[48.5977386],[0.75 0.25]
O0.333+,S2-,[48.58297367],[0.85726532 0.14273468]
S3+,O0.5-,[48.58297367],[0.14285714 0.85714286]
S2+,O0.333-,[48.58297367],[0.14273468 0.85726532]
B1+,O1-,[48.55827402],[0.5 0.5]
O1+,B1-,[48.55827402],[0.5 0.5]
B2+,O2-,[48.55827402],[0.5 0.5]
Kr2+,F1-,[48.26609824],[0.33333333 0.66666667]
S5+,O2-,[48.18161032],[0.28571429 0.71428571]
S2+,O0.5-,[48.1670576],[0.2 0.8]
O0.5+,S2-,[48.1670576],[0.8 0.2]
