material1,material2,material3,pred_temp,weights
Be2+,Na1+,Nd3+,[24.84762104],[0.25 0.25 0.5 ]
Na1+,Sm3+,Ra2+,[24.82900558],[0.25 0.25 0.5 ]
Na1+,Ca2+,Hg1+,[24.82421908],[0.25 0.25 0.5 ]
Be2+,Po2+,Fr1+,[24.81366996],[0.25 0.25 0.5 ]
Ag1+,Te2+,W6+,[24.80502967],[0.25 0.25 0.5 ]
K1+,Sc3+,Mn2+,[24.80076849],[0.25 0.25 0.5 ]
Ag1+,Os4+,Ra2+,[24.79658753],[0.25 0.25 0.5 ]
Al3+,Rb1+,Po2+,[24.78281057],[0.25 0.25 0.5 ]
K1+,Tb3+,Fr1+,[24.78037836],[0.25 0.25 0.5 ]
Ag1+,Ir3+,Am3+,[24.78027867],[0.25 0.25 0.5 ]
Na1+,Dy3+,Fr1+,[24.77870011],[0.25 0.25 0.5 ]
Li1+,Ca2+,Mn2+,[24.76045602],[0.25 0.25 0.5 ]
Ag1+,Ba2+,Np5+,[24.75784307],[0.25 0.25 0.5 ]
Na1+,Al3+,Pb2+,[24.75012203],[0.25 0.25 0.5 ]
