material1,material2,pred_temp,weights
V5+,F1-,[27.36396554],[0.16666667 0.83333333]
Te2+,Cl1-,[27.36119756],[0.33333333 0.66666667]
Al3+,I1-,[27.34307263],[0.25 0.75]
Sn4+,F1-,[27.30614115],[0.2 0.8]
Te6+,Cl1-,[27.29853244],[0.14285714 0.85714286]
Se4+,Br1-,[27.27656606],[0.2 0.8]
B3+,N1-,[27.21224808],[0.25 0.75]
Y3+,I1-,[27.19728901],[0.25 0.75]
V5+,S1-,[27.1923828],[0.16666667 0.83333333]
Cl3+,C1-,[27.16060062],[0.25 0.75]
In3+,Cl1-,[27.13063239],[0.25 0.75]
I3+,Br1-,[27.12854734],[0.25 0.75]
Ce4+,Cl1-,[27.11834319],[0.2 0.8]
Te2+,Br1-,[27.1047155],[0.33333333 0.66666667]
Br1+,Te2-,[27.1047155],[0.66666667 0.33333333]
Ge4+,F1-,[27.07536246],[0.2 0.8]
Br5+,C3-,[27.06026169],[0.375 0.625]
I5+,Br1-,[27.05278887],[0.16666667 0.83333333]
S6+,C1-,[27.03019798],[0.14285714 0.85714286]
Cl5+,C2-,[27.02032967],[0.28571429 0.71428571]
Mo6+,F1-,[27.00019712],[0.14285714 0.85714286]
Sb5+,S1-,[26.99688436],[0.16666667 0.83333333]
Se6+,Br1-,[26.98172923],[0.14285714 0.85714286]
I3+,Cl1-,[26.96608219],[0.25 0.75]
Se6+,S1-,[26.94156327],[0.14285714 0.85714286]
As5+,S1-,[26.88918932],[0.16666667 0.83333333]
Se4+,Cl1-,[26.88170831],[0.2 0.8]
Te6+,Br1-,[26.86660412],[0.14285714 0.85714286]
Te4+,Cl1-,[26.85655422],[0.2 0.8]
Ge4+,Br1-,[26.84889938],[0.2 0.8]
Br1+,Ge4-,[26.84889938],[0.8 0.2]
Nb5+,S1-,[26.84380776],[0.16666667 0.83333333]
Te6+,S1-,[26.82545049],[0.14285714 0.85714286]
Nb5+,F1-,[26.76293585],[0.16666667 0.83333333]
Te4+,Br1-,[26.72263545],[0.2 0.8]
Br1+,Br1-,[26.69974844],[0.5 0.5]
I7+,C3-,[26.67341957],[0.3 0.7]
Nd3+,Br1-,[26.64696694],[0.25 0.75]
Br3+,C2-,[26.60285921],[0.4 0.6]
Te6+,S2-,[26.5512772],[0.25 0.75]
Br3+,Br1-,[26.55043406],[0.25 0.75]
Se2+,S1-,[26.50594492],[0.33333333 0.66666667]
Cr6+,S1-,[26.49105386],[0.14285714 0.85714286]
Se4+,S1-,[26.4809491],[0.2 0.8]
As3+,S1-,[26.47002197],[0.25 0.75]
Br5+,Br1-,[26.41816115],[0.16666667 0.83333333]
Br1+,Si4-,[26.3803112],[0.8 0.2]
Si4+,Br1-,[26.3803112],[0.2 0.8]
S4+,S2-,[26.37662923],[0.33333333 0.66666667]
I7+,S2-,[26.35961324],[0.22222222 0.77777778]
I5+,O1-,[26.35626275],[0.16666667 0.83333333]
Ge4+,S1-,[26.34394245],[0.2 0.8]
Ge2+,I1-,[26.34172624],[0.33333333 0.66666667]
Te4+,S1-,[26.31172977],[0.2 0.8]
Si4+,S1-,[26.29745216],[0.2 0.8]
Se6+,S2-,[26.2972469],[0.25 0.75]
S6+,S2-,[26.28252768],[0.25 0.75]
S4+,S1-,[26.24942115],[0.2 0.8]
I7+,Br1-,[26.2227214],[0.125 0.875]
Te2+,S1-,[26.21187357],[0.33333333 0.66666667]
Br3+,Si4-,[26.2099608],[0.57142857 0.42857143]
I5+,S1-,[26.19899298],[0.16666667 0.83333333]
I7+,C4-,[26.16986581],[0.36363636 0.63636364]
Br7+,Br1-,[26.16684934],[0.125 0.875]
Ho3+,Cl1-,[26.16188962],[0.25 0.75]
I1+,O0.333-,[26.16006766],[0.24981245 0.75018755]
P3+,O2-,[26.15767704],[0.4 0.6]
Sn4+,S1-,[26.15532207],[0.2 0.8]
Se6+,Se2-,[26.12910095],[0.25 0.75]
I3+,S1-,[26.12073413],[0.25 0.75]
S2+,S2-,[26.12054733],[0.5 0.5]
Br1+,Si3-,[26.11050445],[0.75 0.25]
Br5+,C2-,[26.09739386],[0.28571429 0.71428571]
I7+,Se2-,[26.09294872],[0.22222222 0.77777778]
I5+,S2-,[26.07225475],[0.28571429 0.71428571]
I1+,I1-,[26.03244272],[0.5 0.5]
I7+,Si3-,[26.03016749],[0.3 0.7]
I3+,I1-,[25.99531105],[0.25 0.75]
Se4+,Se2-,[25.96208188],[0.33333333 0.66666667]
S6+,S1-,[25.9584611],[0.14285714 0.85714286]
Sb3+,S1-,[25.90225579],[0.25 0.75]
I5+,I1-,[25.88685659],[0.16666667 0.83333333]
I7+,S1-,[25.886396],[0.125 0.875]
P5+,S1-,[25.873108],[0.16666667 0.83333333]
I1+,Ge4-,[25.84306256],[0.8 0.2]
Ge4+,I1-,[25.84306256],[0.2 0.8]
Br7+,S2-,[25.7868492],[0.22222222 0.77777778]
I7+,I1-,[25.7582349],[0.125 0.875]
I7+,Si2-,[25.74796283],[0.22222222 0.77777778]
Ag1+,Po2-,[25.72762451],[0.66666667 0.33333333]
I5+,O2-,[25.69359852],[0.28571429 0.71428571]
I7+,O2-,[25.68310633],[0.22222222 0.77777778]
Sn2+,S1-,[25.6768551],[0.33333333 0.66666667]
Te4+,S2-,[25.66131878],[0.33333333 0.66666667]
I5+,Se2-,[25.65581119],[0.28571429 0.71428571]
I5+,Si4-,[25.65376074],[0.44444444 0.55555556]
I3+,O1-,[25.64784077],[0.25 0.75]
Ge2+,S1-,[25.63779541],[0.33333333 0.66666667]
I7+,Si4-,[25.636299],[0.36363636 0.63636364]
Br5+,S1-,[25.63446469],[0.16666667 0.83333333]
Sb5+,S2-,[25.63255403],[0.28571429 0.71428571]
Te6+,Se2-,[25.58404647],[0.25 0.75]
Se4+,S2-,[25.54129526],[0.33333333 0.66666667]
